,Case Number,Year,Type,Country,Area,Activity,Sex,Age,Injury,Fatal (Y/N),Provoked
3343,1972.01.01.b,1970's,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Sitting in shallows,Undefined,30.0,Foot bitten,No,
3344,1972.01.01.a,1970's,Unprovoked,MOZAMBIQUE,Gaza,Standing,Undefined,24.0,"Leg severed at knee,  hand severed, arms, torso & buttock severely lacerated",No,
3345,1972.00.00.b,1970's,Unprovoked,FRANCE,Antibes,Swimming,Unknown,0.0,Shoulder injured,No,
3346,1972.00.00.a,1970's,Unprovoked,MARSHALL ISLANDS,Illeginni Atoll,"Free diving, collecting shells",Undefined,0.0,Right hand & torso lacerated,No,
3347,1971.12.2.a,1970's,Unprovoked,AUSTRALIA,New South Wales,Unknown,Unknown,22.0,Survived,No,
3348,1971.12.1.a,1970's,Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming,Undefined,16.0,Right forearm bitten,No,
3349,1971.12.0.a,1970's,Unprovoked,AUSTRALIA,Queensland,Unknown,Undefined,20.0,FATAL,Yes,
3350,1971.11.2.a,1970's,Unprovoked,HONG KONG,Mirs Bay ,Freedom Swimming,Undefined,20.0,"Left leg severely bitten, surgically amputated",No,
3351,1971.11.2.a,1970's,Provoked,AUSTRALIA,New South Wales,Unknown,Unknown,20.0,PROVOKED INCIDENT,No,Unknown
3352,1971.10.2.a,1970's,Unprovoked,USA,Florida,Surfing,Undefined,18.0,"Right shoulder, arm & hand bitten",No,
3353,1971.10.1.a,1970's,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming,Undefined,25.0,Wrist & hand lacerated,No,
3354,1971.10.0.a,1970's,Unprovoked,USA,California,Scuba diving,Undefined,30.0,Bitten on legs,No,
3355,1971.09.2.a,1970's,Unprovoked,USA,North Carolina,Surfing,Unknown,17.0,Left foot injured,No,
3356,1971.09.0.a,1970's,Unprovoked,CROATIA,Istria County,Swimming,Undefined,34.0,FATAL,Yes,
3357,1971.09.0.a,1970's,Unprovoked,AUSTRALIA,South Australia,Fishing,Undefined,51.0," FATAL. Shark bite was minor injury, but he suffered a heart attack afterwards and died 6 hours later",Yes,
3358,1971.08.2.a,1970's,Provoked,AUSTRALIA,New South Wales,Scuba diving & feeding fish,Undefined,26.0,Eight puncture wounds to right leg by captive shark PROVOKED INCIDENT,No,Unknown
3359,1971.07.2.a,1970's,Unprovoked,USA,Florida,Wading,Undefined,8.0,Laceration to left ankle,No,
